Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
BSEL-pool2.001	22	1	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	46.4207504935	0.740686	1037	0.906914670994	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.002	0	0	NA	NA	unresolved	37.6136265428	0.890967	1165	0.91395640916	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool2.003	6	0	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	47.5588093106	1.067348	1579	0.940558280898	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.004	41	1	UID2981	k__Bacteria	p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_succinogenes	50.1570307408	3.392011	3119	0.931199810378	11	2	42.9626862761	5.0891583566	3.0447275	0.7979075	2528.5	659.5
BSEL-pool2.005	41	0	UID1240	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	s__Ruminococcus_flavefaciens	54.3871299255	2.689526	2326	0.89426872988	11	8	46.2165251539	2.52667812802	3.7069445	0.696422523521	3346.125	662.876390721
BSEL-pool2.006	1	0	UID1240	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	s__Ruminococcus_albus	46.2786578621	1.088532	1210	0.891461160535	11	8	46.2165251539	2.52667812802	3.7069445	0.696422523521	3346.125	662.876390721
BSEL-pool2.007	4	1	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	47.0144409923	0.910533	1253	0.905723351048	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.008	35	0	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	46.8311963576	1.423897	1359	0.937159780518	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
BSEL-pool2.009	18	1	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	59.5933972142	1.219667	1828	0.954041553965	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.010	5	0	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	51.4274621691	0.664536	895	0.955107022042	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
