Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BSEL-pool2.001	o__Clostridiales (UID1120)	304	247	141	189	56	2	0	0	0	13.41	0.38	50.00
BSEL-pool2.002	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
BSEL-pool2.003	k__Bacteria (UID203)	5449	103	57	69	32	2	0	0	0	50.16	2.63	100.00
BSEL-pool2.004	k__Bacteria (UID2495)	2993	147	91	4	135	7	1	0	0	95.60	6.76	20.00
BSEL-pool2.005	o__Clostridiales (UID1212)	172	263	149	21	241	1	0	0	0	90.94	0.67	0.00
BSEL-pool2.006	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	9.66	0.00	0.00
BSEL-pool2.007	k__Bacteria (UID203)	5449	103	57	84	16	3	0	0	0	17.26	1.91	100.00
BSEL-pool2.008	k__Bacteria (UID2569)	434	278	186	114	132	30	2	0	0	56.89	15.32	5.56
BSEL-pool2.009	p__Bacteroidetes (UID2605)	350	316	210	160	141	14	1	0	0	47.22	5.90	35.29
BSEL-pool2.010	k__Bacteria (UID203)	5449	104	58	80	23	1	0	0	0	27.51	1.72	0.00
BSEL-pool2.011	k__Bacteria (UID203)	5449	103	57	81	19	3	0	0	0	27.18	5.26	100.00
BSEL-pool2.012	k__Bacteria (UID2569)	434	278	186	182	91	5	0	0	0	28.76	2.15	0.00
BSEL-pool2.013	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
BSEL-pool2.014	o__Clostridiales (UID1212)	172	263	149	13	237	12	1	0	0	93.18	5.84	0.00
BSEL-pool2.015	k__Bacteria (UID2495)	2993	142	88	6	132	4	0	0	0	94.25	2.41	0.00
BSEL-pool2.016	k__Bacteria (UID2329)	174	149	89	2	144	3	0	0	0	98.31	1.97	33.33
BSEL-pool2.017	o__Clostridiales (UID1120)	304	247	141	138	81	28	0	0	0	46.27	13.53	85.71
BSEL-pool2.018	k__Bacteria (UID203)	5449	104	58	93	8	3	0	0	0	12.76	5.17	100.00
