Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
BSEL-pool3.001	42	0	UID2562	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	s__Treponema_bryantii	37.3739797491	2.738052	2602	0.931076911615	11	3	40.4149420285	0.196754115237	3.07034	0.18165678311	2695.33333333	162.393212776
BSEL-pool3.002	0	0	NA	NA	unresolved	52.3327060442	0.49419	652	0.917792751776	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool3.003	42	0	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	51.0296092826	2.276786	2718	0.926847318984	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
BSEL-pool3.004	42	1	UID2618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	unresolved	40.3335596348	4.127238	3559	0.901526638396	11	207	44.2786566854	3.95055024991	4.19324544928	1.44938309047	3579.7294686	1168.66293569
BSEL-pool3.005	43	0	UID1234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_leptum	47.816983518	2.150167	1827	0.923158061676	11	2	52.8718895631	2.68662050941	3.1393425	0.1307665	3428.5	554.5
BSEL-pool3.006	41	0	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	59.87041618	3.396103	2668	0.945836153968	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool3.007	43	0	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	58.230976389	2.151458	1903	0.936464016495	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool3.008	33	2	UID1027	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	g__Phascolarctobacterium;s__	50.2955145738	2.045246	2029	0.884891597392	11	6	50.5936678297	2.50409466221	2.28418616667	0.110614576722	2222.83333333	126.004519319
BSEL-pool3.009	14	1	UID2558	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	41.2042141079	1.262616	1604	0.894279812706	11	8	45.148076421	5.30535262368	2.984051125	0.279084070065	2658.25	194.214282431
BSEL-pool3.010	41	1	UID2536	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Sphaerochaeta	53.217946999	2.431426	2221	0.913104902226	11	5	48.7487949991	1.4146619744	3.6730384	0.894732632953	3403.2	900.338691827
BSEL-pool3.011	42	1	UID2562	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	s__Treponema_bryantii	39.5357013561	3.637831	3281	0.928866679073	11	3	40.4149420285	0.196754115237	3.07034	0.18165678311	2695.33333333	162.393212776
BSEL-pool3.012	28	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	44.1534711267	2.195123	1887	0.92091559334	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
BSEL-pool3.013	8	0	UID2558	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	46.9396147226	1.060275	1420	0.920016976728	11	8	45.148076421	5.30535262368	2.984051125	0.279084070065	2658.25	194.214282431
BSEL-pool3.014	26	17	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	50.1108881923	4.094665	4140	0.934285466577	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
BSEL-pool3.015	14	29	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	56.7477086967	1.839128	1797	0.934508092966	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool3.016	42	0	UID2993	k__Bacteria	p__Verrucomicrobia	61.993021769	3.876054	2899	0.92720044664	11	77	42.9388897508	7.08947795852	1.8711955974	1.6729307037	1670.83116883	1381.87024973
BSEL-pool3.017	14	0	UID1120	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	58.30812895	2.446995	2649	0.920084021422	11	304	37.7948489226	8.10024984371	3.72449501645	1.04745727283	3521.08223684	983.518965621
BSEL-pool3.018	43	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	62.8810719789	2.097504	1919	0.910110302531	11	4	54.936132268	3.97742114581	4.187599	1.14915573988	4522.75	1321.7663135
BSEL-pool3.019	43	0	UID2558	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	40.1480734454	3.087792	3004	0.924775697327	11	8	45.148076421	5.30535262368	2.984051125	0.279084070065	2658.25	194.214282431
BSEL-pool3.020	25	4	UID1027	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	g__Phascolarctobacterium;s__	48.6262819871	1.558908	1859	0.886549430755	11	6	50.5936678297	2.50409466221	2.28418616667	0.110614576722	2222.83333333	126.004519319
BSEL-pool3.021	24	5	UID1420	k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	unresolved	59.6858713548	2.379662	2928	0.962379531211	11	32	35.7682318245	2.61411631924	2.632537	0.207115967995	2642.9375	190.182303577
BSEL-pool3.022	42	0	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	50.5122899617	1.680884	1504	0.929732212336	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
